1710748800000,68218.38000000,68483.96000000,67300.00000000,68253.40000000,8039.14860000,1710763199999,546257772.94921830,412203,3942.66446000,267946759.06722330,0
1710763200000,68253.39000000,68627.81000000,66628.68000000,67467.19000000,13191.14257000,1710777599999,891001167.98810170,561598,6425.69782000,434075570.69640440,0
1710777600000,67467.19000000,68079.52000000,66565.20000000,66936.00000000,12161.56392000,1710791999999,818147178.58165320,498896,6520.76640000,438815372.03924730,0
1710792000000,66936.00000000,67999.00000000,66935.99000000,67609.99000000,6471.04363000,1710806399999,437009203.38998860,358934,3535.32731000,238757498.60859860,0
1710806400000,67610.00000000,68124.11000000,64860.00000000,65876.01000000,16347.35381000,1710820799999,1082757858.13562590,604896,7504.50604000,497187793.59494270,0
1710820800000,65876.01000000,65976.10000000,63577.00000000,64704.22000000,16011.77985000,1710835199999,1037812075.40251700,578740,7512.22874000,486950329.04372810,0
1710835200000,64704.23000000,64710.69000000,62505.00000000,63081.34000000,21759.46345000,1710849599999,1379914529.19639460,793723,10276.16653000,651774426.27705790,0
1710849600000,63081.34000000,64150.00000000,62410.78000000,64051.85000000,19821.88333000,1710863999999,1253326102.02986520,666043,10106.87741000,639231634.40014730,0
1710864000000,64051.85000000,65756.00000000,63969.58000000,64391.99000000,14712.72400000,1710878399999,953295721.40350660,486494,7432.31568000,481538291.74353940,0
1710878400000,64392.00000000,64500.12000000,61555.00000000,61937.40000000,12352.12043000,1710892799999,777699662.36748350,463936,5373.18994000,338576406.64285810,0
1710892800000,61937.41000000,63466.21000000,61666.00000000,61860.81000000,14260.12300000,1710907199999,892459371.86966950,538072,6939.03955000,434400356.55009360,0
1710907200000,61860.82000000,63198.83000000,60775.00000000,62957.85000000,16405.10550000,1710921599999,1013556249.19308940,585560,8010.49975000,495205544.93646960,0
1710921600000,62957.85000000,63957.74000000,62640.00000000,63392.94000000,11101.85580000,1710935999999,700798220.98342410,508517,5549.32635000,350372365.78025910,0
1710936000000,63392.95000000,64395.00000000,63066.60000000,63600.37000000,14577.40042000,1710950399999,930733317.28429300,633380,7448.55225000,475611841.29636320,0
1710950400000,63600.37000000,66000.00000000,62022.00000000,65784.46000000,19560.39962000,1710964799999,1255273618.34550550,717947,10048.59715000,645049867.15899650,0
1710964800000,65784.47000000,68100.00000000,65656.41000000,67840.51000000,14515.70158000,1710979199999,976949274.38660150,566317,7527.82776000,506582088.40910960,0
